"1945","curar (v)","to cure"
"1946","denunciar (v)","to denounce"
"1947","desempeñar (v)","to carry out, fulfill"
"1948","deshacer (v)","to undo, destroy, take apart"
"1949","designar (v)","to designate"
"1950","dibujar (v)","to draw, sketch"
"1951","disparar (v)","to shoot at"
"1952","divertir (v)","to amuse, entertain"
"1953","doler (v)","to hurt"
"1954","educar (v)","to educate"
"1955","ejecutar (v)","to execute, carry out"
"1956","emprender (v)","to undertake, embark on"
"1957","encender (v)","to turn on"
"1958","envolver (v)","to wrap"
"1959","equilibrar (v)","to balance"
"1960","escoger (v)","to choose"
"1961","especializar (v)","to specialize, major in"
"1962","estallar (v)","to break out, explode, start"
"1963","exhibir (v)","to exhibit, show off"
"1964","expulsar (v)","to expel, throw out"
"1965","extraer (v)","to extract, take out"
"1966","favorecer (v)","to favor, help"
"1967","formular (v)","to formulate"
"1968","fracasar (v)","to fail, to be unsuccessful"
"1969","fumar (v)","to smoke"
"1970","garantizar (v)","to guarantee"
"1971","generar (v)","to generate"
"1972","gobernar (v)","to govern"
"1973","imitar (v)","to imitate, copy, mimic"
"1974","impresionar (v)","to impress"
"1975","inaugurar (v)","to inaugurate, start"
"1976","influir (v)","to have influence"
"1977","inspirar (v)","to inspire, inhale"
"1978","juntar (v)","to put togerther, to get together&nbsp;[also reunir]"
"1979","llover (v)","to rain"
"1980","mentir (v)","to (tell a) lie"
"1981","multiplicar (v)","to multiply"
"1982","optar (v)","to choose, opt for"
"1983","orientar (v)","guide, show the way"
"1984","otorgar (v)","to give, grant, award"
"1985","portar (v)","to behave [se], carry"
"1986","prender (v)","to turn on, apprehend"
"1987","prever (v)","to foresee, anticipate, forecast"
"1988","prolongar (v)","to extend, prolong"
"1989","protestar (v)","to protest, object"
"1990","quebrar (v)","to break, bend, weaken"
"1991","reconstruir (v)","to reconstruct"
"1992","renovar (v)","to renew, renovate"
"1993","retener (v)","to keep, retain"
"1994","secar (v)","to dry"
"1995","situar (v)","to situate, place, locate"
"1996","soltar (v)","to release, loosen, let out"
"1997","solucionar (v)","to solve, settle"
"1998","tapar (v)","to cover, wrap"
"1999","variar (v)","to change, vary"
"2000","vigilar (v)","to watch over, guard"
"2001","aburrido (adj)","boring, bored"
"2002","administrativo (adj)","administrative"
"2003","admirable (adj)","admirable"
"2004","adolescente (nc)","adolescent (nc)"
"2005","aéreo (adj)","aerial, air"
"2006","agotado (adj)","tired, used up, sold out"
"2007","amargo (adj)","bitter, sour, painful"
"2008","aparente (adj)","apparent"
"2009","atento (adj)","attentive, careful, polite"
"2010","ausente (adj)","absent"
"2011","automático (adj)","automatic"
"2012","autónomo (adj)","autonomous"
"2013","bárbaro (adj)","savage, horrible"
"2014","blando (adj)","soft, limp, gentle"
"2015","bravo (adj)","fierce, angry"
"2016","bruto (adj)","brutal, coarse, clumsy"
"2017","cálido (adj)","warm"
"2018","comprometido (adj)","committed, engaged"
"2019","confuso (adj)","confused, mixed up"
"2020","conservador (adj)","conservative"
"2021","consiguiente (adj)","consequent"
"2022","convencional (adj)","conventional"
"2023","crudo (adj)","raw, crude, natural"
"2024","culto (adj)","cultured, educated (adj)"
"2025","decisivo (adj)","decisive, conclusive"
"2026","deportivo (adj)","sports, sporty"
"2027","divertido (adj)","funny, amusing"
"2028","dorado (adj)","golden, gold-plated"
"2029","dormido (adj)","asleep, sleeping"
"2030","escolar (adj)","school, scholastic"
"2031","escondido (adj)","hidden"
"2032","espectacular (adj)","spectacular"
"2033","espléndido (adj)","splendid, generous"
"2034","estable (adj)","stable, steady"
"2035","estético (adj)","esthetic"
"2036","exagerado (adj)","exaggerated"
"2037","existente (adj)","existing"
"2038","exquisito (adj)","exquisite, superb"
"2039","fatal (adj)","fateful, deadly, awful"
"2040","favorito (adj)","favorite"
"2041","filosófico (adj)","philosophical"
"2042","frustrado (adj)","frustrated"
"2043","gigantesco (adj)","giant, gigantic"
"2044","hábil (adj)","skillful, clever"
"2045","harto (adj)","fed up with"
"2046","helado (adj)","iced, freezing, icy"
"2047","herido (adj)","wounded, injured (adj)"
"2048","hondo (adj)","deep"
"2049","horrible (adj)","horrible"
"2050","hueco (nm)","hole, cavity (nm)"
"2051","húmedo (adj)","humid, damp"
"2052","ideológico (adj)","ideological"
"2053","ilustre (adj)","renowned, illustrious"
"2054","imprescindible (adj)","essential, indispensable"
"2055","inclinado (adj)","inclined, slanting"
"2056","incómodo (adj)","uncomfortable"
"2057","inconsciente (adj)","unconscious, thoughtless"
"2058","indiferente (adj)","indifferent"
"2059","inesperado (adj)","unexpected, unforeseen"
"2060","inocente (adj)","innocent, naïve"
"2061","inquieto (adj)","restless, anxious"
"2062","judicial (adj)","judicial"
"2063","jurídico (adj)","legal, juridical"
"2064","juvenil (adj)","young, juvenile"
"2065","legítimo (adj)","legitimate"
"2066","leve (adj)","slight, trifling, light"
"2067","ligado (adj)","linked, joined"
"2068","lindo (adj)","pretty, nice, lovely"
"2069","luminoso (adj)","bright, luminous"
"2070","maduro (adj)","mature, ripe"
"2071","mágico (adj)","magic, magical"
"2072","marino (adj)","marine, naval"
"2073","mediado (adj)","mid, middle"
"2074","metálico (adj)","metallic"
"2075","mezclado (adj)","mixed"
"2076","misterioso (adj)","mysterious"
"2077","municipal (adj)","municipal, town"
"2078","noble (adj)","noble (adj)"
"2079","obvio (adj)","obvious"
"2080","peculiar (adj)","peculiar"
"2081","pensado (adj)","thought-out, designed"
"2082","plástico (nm)","plastic (nm)"
"2083","prestado (adj)","borrowed, lent"
"2084","prolongado (adj)","prolonged, lengthy"
"2085","prudente (adj)","sensible, prudent"
"2086","químico (adj)","chemical"
"2087","racional (adj)","rational"
"2088","realista (adj)","realistic"
"2089","recto (adj)","right, straight, honest"
"2090","reservado (adj)","reserved, booked"
"2091","riguroso (adj)","rigorous, severe"
"2092","rural (adj)","rural, country"
"2093","sentimental (adj)","sentimental"
"2094","simpático (adj)","nice, likeable, friendly"
"2095","sincero (adj)","sincere"
"2096","singular (adj)","single, singular"
"2097","socialista (adj)","socialist"
"2098","sonoro (adj)","loud, resounding"
"2099","sordo (adj)","deaf, dull"
"2100","superficial (adj)","superficial"
"2101","supremo (adj)","supreme"
"2102","sutil (adj)","subtle"
"2103","telefónico (adj)","telephone"
"2104","teórico (adj)","theoretical"
"2105","tierno (adj)","tender, soft"
"2106","tímido (adj)","timid, shy, half-hearted"
"2107","trágico (adj)","tragic"
"2108","transparente (adj)","transparent, clear"
"2109","vasto (adj)","vast, immense, huge"
"2110","voluntario (adj)","voluntary, volunteer"
"2111","vulgar (adj)","vulgar, common, banal"
"2112","afortunadamente (adv)","luckily, fortunately"
"2113","anteriormente (adv)","previously&nbsp;[also previamente]"
"2114","ciertamente (adv)","certainly, indeed"
"2115","continuamente (adv)","continuously"
"2116","enfrente (adv)","in front of"
"2117","enseguida (adv)","immediately, at once"
"2118","estrictamente (adv)","strictly"
"2119","francamente (adv)","frankly, openly"
"2120","fundamentalmente (adv)","fundamentally, basically"
"2121","libremente (adv)","freely"
"2122","ligeramente (adv)","slightly, lightly"
"2123","particularmente (adv)","particularly, personally"
"2124","previamente (adv)","previously&nbsp;[also anteriormente]"
"2125","puramente (adv)","purely, simply"
"2126","recientemente (adv)","recently"
"2127","relativamente (adv)","relatively"
"2128","seguida: en seguida (adv)","right away, at once"
"2129","eh (interj)","eh"
"2130","oh (interj) [also ah]","oh"
"2131","este (n)","East (n)"
"2132","ayudante (nc)","helper, assistant"
"2133","protagonista (nc)","protagonist, main character"
"2134","visitante (nc)","visitor"
"2135","aceptación (nf)","acceptance, approval"
"2136","agencia (nf)","agency, branch"
"2137","alimentación (nf)","feeding, food"
"2138","armonía (nf)","harmony"
"2139","arquitectura (nf)","architecture"
"2140","asistencia (nf)","attendance, assistance"
"2141","aspiración (nf)","ambition, aspiration"
"2142","atracción (nf)","attraction"
"2143","avenida (nf)","avenue"
"2144","barra (nf)","bar, rod, rail"
"2145","barrera (nf)","barrier, obstacle"
"2146","basura (nf)","garbage, rubbish"
"2147","bebida (nf)","drink, beverage"
"2148","boda (nf)","marriage, wedding"
"2149","bola (nf)","ball, sphere"
"2150","bondad (nf)","goodness, kindness"
"2151","bota (nf)","boot, wineskin"
"2152","campana (nf)","bell"
"2153","cartera (nf)","wallet, satchel"
"2154","cena (nf)","dinner"
"2155","cercanía (nf)","nearness, proximity"
"2156","certeza (nf)","certainty"
"2157","charla (nf)","talk, chat"
"2158","circulación (nf)","circulation, traffic"
"2159","coincidencia (nf)","coincidence"
"2160","conquista (nf)","conquest"
"2161","convivencia (nf)","coexistence, living together"
"2162","corona (nf)","crown"
"2163","correspondencia (nf)","correspondence, connection"
"2164","cosecha (nf)","harvest, crop"
"2165","crónica (nf)","account, chronicle"
"2166","cruz (nf)","cross, burden"
"2167","cuota (nf)","quota, share, dues"
"2168","curva (nf)","curve"
"2169","democracia (nf)","democracy"
"2170","demostración (nf)","demonstration"
"2171","denuncia (nf)","accusation, complaint, denunciation"
"2172","dependencia (nf)","dependence, dependency"
"2173","derrota (nf)","defeat, loss"
"2174","descripción (nf)","description"
"2175","desesperación (nf)","desperation, exasperation"
"2176","determinación (nf)","determination"
"2177","dictadura (nf)","dictatorship"
"2178","distinción (nf)","distinction"
"2179","docena (nf)","dozen"
"2180","doctrina (nf)","doctrine, teachings"
"2181","dosis (nf)","dose"
"2182","eficacia (nf)","efficiency, effectiveness"
"2183","entidad (nf)","entity"
"2184","escalera (nf)","stairs, ladder"
"2185","esfera (nf)","sphere, globe"
"2186","especialidad (nf)","specialty, specialized field"
"2187","estrategia (nf)","strategy"
"2188","fiebre (nf)","fever, excitement"
"2189","fuga (nf)","flight, escape"
"2190","geografía (nf)","geography"
"2191","gestión (nf)","management, step, negotiation"
"2192","gota (nf)","drop"
"2193","gravedad (nf)","seriousness, gravity"
"2194","guitarra (nf)","guitar"
"2195","hierba (nf)","herb, grass, weed"
"2196","huelga (nf)","strike, protest"
"2197","humedad (nf)","humidity"
"2198","identificación (nf)","identification"
"2199","igualdad (nf)","equality"
"2200","incertidumbre (nf)","uncertainty"
"2201","índole (nf)","nature, temperament"
"2202","injusticia (nf)","injustice"
"2203","intimidad (nf)","private life, intimacy"
"2204","invasión (nf)","invasion"
"2205","joya (nf)","jewel, treasure"
"2206","laguna (nf)","lagoon"
"2207","limitación (nf)","limitation"
"2208","madurez (nf)","maturity, ripeness"
"2209","magnitud (nf)","magnitude, extent"
"2210","maniobra (nf)","maneuver, operation"
"2211","manzana (nf)","apple, city block"
"2212","mercancía (nf)","goods, merchandise"
"2213","miel (nf)","honey"
"2214","misa (nf)","religious mass"
"2215","mosca (nf)","fly (insect)"
"2216","muchacha (nf)","girl"
"2217","naranja (nf)","orange (fruit)"
"2218","nave (nf)","spacecraft, ship"
"2219","noción (nf)","notion, idea"
"2220","novia (nf)","girlfriend, bride"
"2221","oración (nf)","prayer"
"2222","orientación (nf)","orientation, direction"
"2223","palma (nf)","palm tree, palm"
"2224","pausa (nf)","pause"
"2225","perfección (nf)","perfection"
"2226","precaución (nf)","caution, forethought"
"2227","preferencia (nf)","preference"
"2228","prenda (nf)","piece of clothing"
"2229","presa (nf)","dam, prisoner (f)"
"2230","pretensión (nf)","pretension, claim"
"2231","prisión (nf)","prison, imprisonment"
"2232","promoción (nf)","promotion"
"2233","propaganda (nf)","advertising, propaganda"
"2234","publicación (nf)","publication"
"2235","publicidad (nf)","advertising, publicity"
"2236","queja (nf)","complaint"
"2237","rabia (nf)","rage"
"2238","realización (nf)","fulfillment, realization"
"2239","recomendación (nf)","recommendation"
"2240","reforma (nf)","reform, improvement"
"2241","residencia (nf)","residence"
"2242","resolución (nf)","resolution"
"2243","sabiduría (nf)","wisdom, knowledge"
"2244","sal (nf)","salt"
"2245","selección (nf)","selection, choice"
"2246","semilla (nf)","seed"
"2247","señorita (nf)","young woman"
"2248","sentencia (nf)","legal sentence, judgment"
"2249","síntesis (nf)","synthesis"
"2250","solidaridad (nf)","solidarity, togetherness"
"2251","sonrisa (nf)","smile"
"2252","sospecha (nf)","suspicion"
"2253","sucesión (nf)","succession, series"
"2254","sustancia (nf)","substance, essence"
"2255","tecnología (nf)","technology"
"2256","tentación (nf)","temptation"
"2257","tormenta (nf)","storm"
"2258","trampa (nf); hacer trampa","trick, trap; to cheat"
"2259","tribu (nf)","tribe"
"2260","utilidad (nf)","usefulness, utility"
"2261","variación (nf)","variation"
"2262","vigilancia (nf)","surveillance, vigilance"
"2263","habla (nf el)","speech, talking"
"2264","abandono (nm)","abandonment, desertion"
"2265","abrigo (nm)","overcoat, shelter"
"2266","abuso (nm)","abuse, misuse"
"2267","acento (nm)","accent, stress"
"2268","adiós (nm)","goodbye"
"2269","adulto (adj)","adult, grown-up (adj)"
"2270","aeropuerto (nm)","airport"
"2271","ahorro (nm)","saving, thrift"
"2272","amo (nm)","master, boss (m)"
"2273","antecedente (nm)","antecedent"
"2274","aprendizaje (nm)","learning, apprenticeship"
"2275","arreglo (nm)","arrangement"
"2276","aviso (nm)","warning"
"2277","barro (nm)","clay, mud"
"2278","botón (nm)","button"
"2279","cabello (nm)","hair&nbsp;[also pelo]"
"2280","cable (nm)","cable, wiring"
"2281","cajón (nm)","drawer"
"2282","camión (nm)","truck, van, tanker"
"2283","cansancio (nm)","tiredness, weariness"
"2284","capricho (nm)","caprice, whim"
"2285","celo (nm)","zeal,&nbsp;jealousy"
"2286","cementerio (nm)","cemetery, graveyard"
"2287","chiste (nm)","joke, funny story"
"2288","choque (nm)","crash, collision"
"2289","cigarrillo (nm)","cigarette"
"2290","ciudadano (adj)","community, citizen (adj)"
"2291","colaborador (nm)","collaborator"
"2292","complejo (nm)","complex (nm)"
"2293","componente (nm)","component, ingredient"
"2294","concurso (nm)","competition, gathering"
"2295","contexto (nm)","context"
"2296","coro (nm)","choir, chorus"
"2297","cruce (nm)","crossing, intersection"
"2298","cuartel (nm)","quarters, barracks"
"2299","cuchillo (nm)","knife"
"2300","cuero (nm)","leather, skin"
"2301","culto (nm)","worship, cult (nm)"
"2302","cumplimiento (nm)","fulfillment, compliment"
"2303","depósito (nm)","deposit, sediment"
"2304","desafío (nm)","challenge, provocation"
"2305","desprecio (nm)","contempt, disdain"
"2306","diablo (nm)","devil"
"2307","eje (nm)","axis, shaft, crux"
"2308","ejemplar (adj)","exemplary, model (adj)"
"2309","empresario (nm)","manager, entrepreneur"
"2310","énfasis (nm)","emphasis"
"2311","entorno (nm)","environment, surroundings"
"2312","espectador (nm)","spectator, onlooker"
"2313","esposo (nm)","husband, spouse"
"2314","estímulo (nm)","stimulus, encouragement"
"2315","estómago (nm)","stomach"
"2316","experimento (nm)","experiment"
"2317","ferrocarril (nm)","railway"
"2318","filósofo (nm)","philosopher"
"2319","foco (nm)","focus"
"2320","fresco (nm)","freshness, coolness (nm)"
"2321","fundamento (nm)","foundation, ground"
"2322","fútbol (nm)","soccer"
"2323","genio (nm)","genius, temper, genie"
"2324","grano (nm)","grain, kernel"
"2325","humo (nm)","smoke"
"2326","impuesto (nm)","tax"
"2327","incendio (nm)","fire, conflagration"
"2328","inicio (nm)","beginning, start"
"2329","instinto (nm)","instinct"
"2330","invitado (nm)","guest"
"2331","jueves (nm)","Thursday"
"2332","juguete (nm)","toy"
"2333","kilo (nm)","kilogram"
"2334","labio (nm)","lip"
"2335","lago (nm)","lake"
"2336","lazo (nm)","bow, knot, tie, lasso"
"2337","león (nm)","lion"
"2338","mediodía (nm)","noon, midday"
"2339","monumento (nm)","monument"
"2340","museo (nm)","museum"
"2341","nervio (nm)","nerve"
"2342","nieto (nm)","grandchild"
"2343","novio (nm)","boyfriend, groom"
"2344","obstáculo (nm)","obstacle"
"2345","olvido (nm)","forgetfulness, omission"
"2346","pacto (nm)","pact, agreement"
"2347","papa (nmf)","Pope (m), potato (f)"
"2348","paraíso (nm)","paradise"
"2349","pasillo (nm)","hall, corridor"
